Event ID,Magnitude,DistanceRup (km),DistanceJB (km),Annual Rate,RSQSim 4860 10x ln(3.0s RotD50),ASK2014 ln(3.0s Median RotD50),ASK2014 3.0s Standard Deviation
7304,6.762187,205.11386,205.11386,3.7102993E-6,-5.5628877,-5.5090785,0.7408026
7305,7.606386,0.34775522,0.34775522,3.7102993E-6,-0.9948911,-1.7222556,0.7343024
7306,6.8300505,11.380454,11.380454,3.7102993E-6,-1.267916,-2.8698146,0.73892987
7308,7.8641267,20.486881,20.486881,3.7102993E-6,-0.78493816,-2.4560623,0.7343024
7311,7.355155,46.901352,46.901352,3.7102993E-6,-0.36955535,-3.3890977,0.7343024
7314,7.315789,86.78883,86.78883,3.7102993E-6,-3.5817971,-3.89043,0.7343024
7316,7.1074357,172.8949,172.8949,3.7102993E-6,-4.59986,-4.7716103,0.7343024
7320,6.5605583,129.83926,129.62822,3.7102993E-6,-5.0650144,-5.3791947,0.74644893
7321,7.2256126,205.11386,205.11386,3.7102993E-6,-4.924814,-4.7625847,0.7343024
7323,6.6091084,106.629776,106.629776,3.7102993E-6,-4.565854,-5.1114907,0.7450782
7324,7.353838,101.27103,101.27103,3.7102993E-6,-2.1788156,-3.9648156,0.7343024
